"","model","scenario","ensemble","year","variable","value","ecs","id"
"96","ACCESS-CM2","ssp126","r1i1p1f1",1881,"land_tas",-0.0928194117647081,"4.7","very likely"
"97","ACCESS-CM2","ssp126","r1i1p1f1",1882,"global_tas",0.0635685500883483,"4.7","very likely"
"98","ACCESS-CM2","ssp126","r1i1p1f1",1882,"sst",0.073318382352941,"4.7","very likely"
"99","ACCESS-CM2","ssp126","r1i1p1f1",1882,"land_tas",-0.0227594117647527,"4.7","very likely"
"100","ACCESS-CM2","ssp126","r1i1p1f1",1883,"global_tas",-0.0293031035384956,"4.7","very likely"
"101","ACCESS-CM2","ssp126","r1i1p1f1",1883,"sst",0.015384715686274,"4.7","very likely"
"102","ACCESS-CM2","ssp126","r1i1p1f1",1883,"land_tas",-0.065289411764752,"4.7","very likely"
"103","ACCESS-CM2","ssp126","r1i1p1f1",1884,"global_tas",-0.389370706081138,"4.7","very likely"
"104","ACCESS-CM2","ssp126","r1i1p1f1",1884,"sst",-0.244955284313725,"4.7","very likely"
"105","ACCESS-CM2","ssp126","r1i1p1f1",1884,"land_tas",-0.550979411764729,"4.7","very likely"
"106","ACCESS-CM2","ssp126","r1i1p1f1",1885,"global_tas",-0.327077106874071,"4.7","very likely"
"107","ACCESS-CM2","ssp126","r1i1p1f1",1885,"sst",-0.204346617647058,"4.7","very likely"
"108","ACCESS-CM2","ssp126","r1i1p1f1",1885,"land_tas",-0.425089411764759,"4.7","very likely"
"109","ACCESS-CM2","ssp126","r1i1p1f1",1886,"global_tas",-0.320743181251828,"4.7","very likely"
"110","ACCESS-CM2","ssp126","r1i1p1f1",1886,"sst",-0.210625450980391,"4.7","very likely"
"111","ACCESS-CM2","ssp126","r1i1p1f1",1886,"land_tas",-0.413309411764715,"4.7","very likely"
"112","ACCESS-CM2","ssp126","r1i1p1f1",1887,"global_tas",-0.165560774698122,"4.7","very likely"
"113","ACCESS-CM2","ssp126","r1i1p1f1",1887,"sst",-0.104530784313724,"4.7","very likely"
"114","ACCESS-CM2","ssp126","r1i1p1f1",1887,"land_tas",-0.158739411764714,"4.7","very likely"
"115","ACCESS-CM2","ssp126","r1i1p1f1",1888,"global_tas",-0.149134433922598,"4.7","very likely"
"116","ACCESS-CM2","ssp126","r1i1p1f1",1888,"sst",-0.079289034313724,"4.7","very likely"
"117","ACCESS-CM2","ssp126","r1i1p1f1",1888,"land_tas",-0.236009411764712,"4.7","very likely"
"118","ACCESS-CM2","ssp126","r1i1p1f1",1889,"global_tas",-0.110382133058806,"4.7","very likely"
"119","ACCESS-CM2","ssp126","r1i1p1f1",1889,"sst",-0.059204950980391,"4.7","very likely"
"120","ACCESS-CM2","ssp126","r1i1p1f1",1889,"land_tas",-0.177689411764732,"4.7","very likely"
"121","ACCESS-CM2","ssp126","r1i1p1f1",1890,"global_tas",-0.0557233810803837,"4.7","very likely"
